Cohort Date Range,Pharmacy Name,NPI,Start_Date,End_Date
Inception-TBD,Clint Moore Pharmacy,1013626043,Inception,TBD
Inception-TBD,Clint Moore Pharmacy,1578219416,Inception,TBD
Inception-TBD,Clint Moore Pharmacy,1205567104,Inception,TBD
01/04/2025-10/31/2025,Killian Hill Pharmacy,1043949829,01/04/2025,10/31/2025
01/04/2025-10/31/2025,Rogers Pharmacy,1356923544,01/04/2025,10/31/2025
01/04/2025-TBD,Wellpack Pharmacy 1,1700354321,01/04/2025,TBD
01/04/2025-06/27/2025,SILVER CARE PHARMACY INC,1023586658,01/04/2025,06/27/2025
01/04/2025-TBD,Allied Pharmacy,1710611686,01/04/2025,TBD
01/04/2025-TBD,Oakridge Pharmacy,1639646532,01/04/2025,TBD
01/04/2025-10/31/2025,Health Plus Pharmacy,1467106682,01/04/2025,10/31/2025
01/04/2025-10/31/2025,Arrow Pharmacy,1609567353,01/04/2025,10/31/2025
01/04/2025-10/31/2025,Sharon Lakes Pharmacy,1508589268,01/04/2025,10/31/2025
01/04/2025-04/04/2025,SUPER HEALTH PHARMACY MANALAPAN,1962159574,01/04/2025,04/04/2025
01/04/2025-06/27/2025,EXCEL PHARMACY,1851436489,01/04/2025,06/27/2025
01/04/2025-03/06/2026,Rite Care Pharmacy,1225783988,01/04/2025,03/06/2026
01/04/2025-TBD,Oakhurst Pharmacy,1003988890,01/04/2025,TBD
01/04/2025-06/27/2025,FATE PHARMACY 3,1700427069,01/04/2025,06/27/2025
01/04/2025-06/27/2025,ARROCHAR PHARMACY INC,1962597344,01/04/2025,06/27/2025
01/04/2025-TBD,Apex Pharmacy,1710545728,01/04/2025,TBD
01/04/2025-06/27/2025,HORIZON WEST PHARMACY,1568148211,01/04/2025,06/27/2025
01/04/2025-10/31/2025,BMC Pharmacy,1770180804,01/04/2025,10/31/2025
01/04/2025-04/04/2025,PROPER RX INC,1619684214,01/04/2025,04/04/2025
01/04/2025-TBD,Port Jefferson Pharmacy 1,1912511395,01/04/2025,TBD
01/04/2025-10/31/2025,Goodsense Pharmacy,1346354727,01/04/2025,10/31/2025
01/04/2025-10/31/2025,Pharmacyx,1992848840,01/04/2025,10/31/2025
01/04/2025-03/06/2026,Texas Neurology Pharmacy,1801377528,01/04/2025,03/06/2026
01/04/2025-04/04/2025,MYPHARMACY,1518327956,01/04/2025,04/04/2025
01/04/2025-10/31/2025,Plus One Pharmacy,1205442928,01/04/2025,10/31/2025
01/04/2025-04/04/2025,MESQUITE PHARMACY,1255078549,01/04/2025,04/04/2025
01/04/2025-10/31/2025,Pharmacy 1St And Surgical Supplies,1487060109,01/04/2025,10/31/2025
01/04/2025-TBD,Alamo Specialty Pharmacy,1285971622,01/04/2025,TBD
01/04/2025-06/27/2025,AVALON PHARMACY,1700473782,01/04/2025,06/27/2025
01/04/2025-06/27/2025,IDEAL CARE PHARMACY,1376896399,01/04/2025,06/27/2025
01/04/2025-04/04/2025,LOCAL WAY RX LLC,1639887102,01/04/2025,04/04/2025
01/04/2025-06/27/2025,NOSTRAND AVE PHARMACY CORP,1487317400,01/04/2025,06/27/2025
01/04/2025-04/04/2025,MADISON PHARMACY,1871163774,01/04/2025,04/04/2025
01/04/2025-10/31/2025,H&M Pharmacy,1912630526,01/04/2025,10/31/2025
01/04/2025-10/31/2025,Sara Pharmacy,1780639526,01/04/2025,10/31/2025
01/04/2025-10/31/2025,Cure Rx Llc,1255956223,01/04/2025,10/31/2025
01/04/2025-06/27/2025,CROSSROADS SPECIALTY PHARMACY,1932755097,01/04/2025,06/27/2025
01/04/2025-TBD,VILLAGE PHARMACY,1841844255,01/04/2025,TBD
01/04/2025-04/04/2025,CARENOW PHARMACY,1093434995,01/04/2025,04/04/2025
01/04/2025-06/27/2025,WARRIORS PHARMACY,1669012316,01/04/2025,06/27/2025
01/04/2025-10/31/2025,Chelsea Apothecary,1043698301,01/04/2025,10/31/2025
01/04/2025-10/31/2025,Lakeside Specialty Pharmacy 1,1912497496,01/04/2025,10/31/2025
01/04/2025-04/04/2025,THE LOBBY PHARMACY 1,1023324639,01/04/2025,04/04/2025
01/04/2025-10/31/2025,Mexicare Pharmacy,1730743386,01/04/2025,10/31/2025
01/04/2025-10/31/2025,Vip Pharmacy,1225728991,01/04/2025,10/31/2025
01/04/2025-06/27/2025,CENTRAL PARK PHARMACY,1851976724,01/04/2025,06/27/2025
01/04/2025-04/04/2025,CRESCENT PHARMACY,1649415704,01/04/2025,04/04/2025
01/04/2025-10/31/2025,Blue Pharmacy,1255637310,01/04/2025,10/31/2025
01/04/2025-06/27/2025,JOY RD,1396430401,01/04/2025,06/27/2025
01/04/2025-TBD,Anchor Pharmacy,1255853784,01/04/2025,TBD
04/05/2025-10/31/2025,Goodsense Pharmacy,1023575057,04/05/2025,10/31/2025
04/05/2025-10/31/2025,Star Care Pharmacy,1568941060,04/05/2025,10/31/2025
04/05/2025-TBD,Alpine Drugs,1487387528,04/05/2025,TBD
04/05/2025-TBD,Main Source Pharmacy,1689179178,04/05/2025,TBD
04/05/2025-10/31/2025,Aspcares (COLUMBIA SPECIALTY PHARMACY),1104269620,04/05/2025,10/31/2025
04/05/2025-TBD,Greenbay Specialty Pharmacy,1285398099,04/05/2025,TBD
04/05/2025-06/27/2025,Zmc Pharmacy,1689820607,04/05/2025,06/27/2025
04/05/2025-10/31/2025,9 Pharmacy,1912640350,04/05/2025,10/31/2025
04/05/2025-10/31/2025,Medical Park 11 Pharmacy,1942428420,04/05/2025,10/31/2025
04/05/2025-10/31/2025,Mango Pharmacy,1982341277,04/05/2025,10/31/2025
04/05/2025-06/27/2025,J & D Pharmacy,1841675238,04/05/2025,06/27/2025
04/05/2025-TBD,Wesley Chapel Rx,1720725104,04/05/2025,TBD
06/28/2025-TBD,Medstop Pharmacy,1639709454,06/28/2025,TBD
06/28/2025-TBD,New Care Pharmacy,1184361669,06/28/2025,TBD
06/28/2025-10/31/2025,JAXX PHARMACY,1407154347,06/28/2025,10/31/2025
06/28/2025-10/31/2025,THE PHARMACY,1285181891,06/28/2025,10/31/2025
06/28/2025-10/31/2025,CLINTON PHARMACY,1194837377,06/28/2025,10/31/2025
06/28/2025-10/31/2025,KONFETI PHARMACY,1568125987,06/28/2025,10/31/2025
06/28/2025-TBD,DISTRICT PHARMACY,1417411414,06/28/2025,TBD
06/28/2025-10/31/2025,BROAD ST PHARMACY LLC,1477231280,06/28/2025,10/31/2025
06/28/2025-10/31/2025,VAIL RANCH PHARMACY,1164690657,06/28/2025,10/31/2025
06/28/2025-10/31/2025,CHOICE SPECIALTY PHARMACY,1053618199,06/28/2025,10/31/2025
06/28/2025-10/31/2025,PRIME CARE PHARMACY 1,1609319367,06/28/2025,10/31/2025
11/01/2025-TBD,ATL Pharmacy,1770311383,11/01/2025,TBD
11/01/2025-TBD,Memorial Specialty Pharmacy,1821538505,11/01/2025,TBD
11/01/2025-TBD,Killian Hill Pharmacy,1083421044,11/01/2025,TBD
11/01/2025-03/06/2026,Alabama Pharmacy,1427853837,11/01/2025,03/06/2026
11/01/2025-03/06/2026,Haslet Pharmacy,1336536218,11/01/2025,03/06/2026
11/01/2025-TBD,Catalyst Rx Pharmacy Llc,1083495139,11/01/2025,TBD
11/01/2025-03/06/2026,Ultra Care Pharmacy-Columbia,1477316719,11/01/2025,03/06/2026
11/01/2025-TBD,Clermont Care Pharmacy,1154914414,11/01/2025,TBD
11/01/2025-03/06/2026,Emmaus Drug Store,1144811894,11/01/2025,03/06/2026
11/01/2025-TBD,Queens Specialty Pharmacy,1699516575,11/01/2025,TBD
11/01/2025-03/06/2026,Prohealth Compounding Pharmacy Corp,1942049333,11/01/2025,03/06/2026
11/01/2025-TBD,Queens Pharmacy,1245847599,11/01/2025,TBD
11/01/2025-03/06/2026,Ultra Care Pharmacy 1,1689363939,11/01/2025,03/06/2026
11/01/2025-TBD,Wellcare Pharmacy,1598402976,11/01/2025,TBD
11/01/2025-03/06/2026,Instacare Pharmacy,1477295731,11/01/2025,03/06/2026
11/01/2025-TBD,CLRX New Orleans,1952870180,11/01/2025,TBD
11/01/2025-03/06/2026,Bell Pharmacy 002 002,1598542508,11/01/2025,03/06/2026
11/01/2025-TBD,Midtown Medicine,1588397822,11/01/2025,TBD
11/01/2025-TBD,Best Rx Pharmacy 1,1053774570,11/01/2025,TBD
11/01/2025-03/06/2026,Choice Specialty Pharmacy 11,1841613981,11/01/2025,03/06/2026
11/01/2025-03/06/2026,Parsons Rx Inc,1679346845,11/01/2025,03/06/2026
11/01/2025-03/06/2026,Wellspan Pharmacy,1851494017,11/01/2025,03/06/2026
11/01/2025-03/06/2026,Bentley Pharmacy,1659009769,11/01/2025,03/06/2026
11/01/2025-03/06/2026,Om Pharmacy,1508543661,11/01/2025,03/06/2026
11/01/2025-TBD,Ebers Pharmacy,1710755541,11/01/2025,TBD
11/01/2025-TBD,Brightscript Pharmacy,1013654581,11/01/2025,TBD
11/01/2025-TBD,Jeff'S Topcare Pharmacy,1356810840,11/01/2025,TBD
11/01/2025-TBD,Frisco Pharmacy,1669901856,11/01/2025,TBD
11/01/2025-03/06/2026,Raincross Pharmacy,1942901343,11/01/2025,03/06/2026
11/01/2025-TBD,Rightway Pharmacy Inc,1477650315,11/01/2025,TBD
11/01/2025-03/06/2026,Clifton Pharmacy Rx 1,1316446594,11/01/2025,03/06/2026
11/01/2025-TBD,Bristol Pharmacy,1194318071,11/01/2025,TBD
11/01/2025-TBD,Clrx Denton,1871087965,11/01/2025,TBD
11/01/2025-03/06/2026,Haddy Pharmacy And Surgical Supplie,1386150258,11/01/2025,03/06/2026
11/01/2025-TBD,Orland Pharmacy Inc.,1700550860,11/01/2025,TBD
11/01/2025-TBD,Juniper Pharmacy,1154893071,11/01/2025,TBD
11/01/2025-03/06/2026,Pharmacy Plus,1518200567,11/01/2025,03/06/2026
11/01/2025-TBD,Stamford Health Pharmacy,1992462303,11/01/2025,TBD
11/01/2025-TBD,Brightscript Pharmacy,1083466312,11/01/2025,TBD
11/01/2025-TBD,Alamo Specialty Pharmacy,1285259838,11/01/2025,TBD
11/01/2025-TBD,Medplus Specialty,1235605197,11/01/2025,TBD
11/01/2025-TBD,Smith Pharmacy,1851724637,11/01/2025,TBD
11/01/2025-03/06/2026,Icare Pharmacy,1720401722,11/01/2025,03/06/2026
11/01/2025-TBD,LV Rx Inc,1548007958,11/01/2025,TBD
11/01/2025-TBD,QUICKMART PHARMACY & CONVENIENCE 73,1154456291,11/01/2025,TBD
03/07/2026-TBD,Generation Pharmacy,1801528526,03/07/2026,TBD
03/07/2026-TBD,Larsa Pharmacy,1710725122,03/07/2026,TBD
03/07/2026-TBD,Melbourne Rx,1215271895,03/07/2026,TBD
03/07/2026-TBD,PharmacyGo,1346709540,03/07/2026,TBD
03/07/2026-TBD,Roosevelt Pharmacy,1942903257,03/07/2026,TBD
03/07/2026-TBD,Silver Pharmacy,1932904380,03/07/2026,TBD
03/07/2026-TBD,Skyline Pharmacy,1124723101,03/07/2026,TBD
03/07/2026-TBD,Star Care Pharmacy,1538984968,03/07/2026,TBD
03/07/2026-TBD,Tower Drugs,1275234528,03/07/2026,TBD
03/07/2026-TBD,Tustin Pharmacy,1295281285,03/07/2026,TBD
03/07/2026-TBD,Uptown Pharmacy,1497492888,03/07/2026,TBD
